Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Unidade da Federação (Código),Unidade da Federação,Variável (Código),Variável,Ano (Código),Ano,Situação do domicílio (Código),Situação do domicílio,Sexo (Código),Sexo,Grupo de idade (Código),Grupo de idade
3,Unidade da Federação,45,Pessoas,1228880,53,Distrito Federal,93,População residente,2010,2010,0,Total,4,Homens,0,Total
3,Unidade da Federação,45,Pessoas,95938,53,Distrito Federal,93,População residente,2010,2010,0,Total,4,Homens,1140,0 a 4 anos
3,Unidade da Federação,45,Pessoas,101824,53,Distrito Federal,93,População residente,2010,2010,0,Total,4,Homens,1141,5 a 9 anos
3,Unidade da Federação,45,Pessoas,110597,53,Distrito Federal,93,População residente,2010,2010,0,Total,4,Homens,1142,10 a 14 anos
3,Unidade da Federação,45,Pessoas,108791,53,Distrito Federal,93,População residente,2010,2010,0,Total,4,Homens,1143,15 a 19 anos
3,Unidade da Federação,45,Pessoas,120373,53,Distrito Federal,93,População residente,2010,2010,0,Total,4,Homens,1144,20 a 24 anos
3,Unidade da Federação,45,Pessoas,127512,53,Distrito Federal,93,População residente,2010,2010,0,Total,4,Homens,1145,25 a 29 anos
3,Unidade da Federação,45,Pessoas,118507,53,Distrito Federal,93,População residente,2010,2010,0,Total,4,Homens,1146,30 a 34 anos
3,Unidade da Federação,45,Pessoas,100047,53,Distrito Federal,93,População residente,2010,2010,0,Total,4,Homens,1147,35 a 39 anos
3,Unidade da Federação,45,Pessoas,88786,53,Distrito Federal,93,População residente,2010,2010,0,Total,4,Homens,1148,40 a 44 anos
3,Unidade da Federação,45,Pessoas,72525,53,Distrito Federal,93,População residente,2010,2010,0,Total,4,Homens,1149,45 a 49 anos
3,Unidade da Federação,45,Pessoas,55965,53,Distrito Federal,93,População residente,2010,2010,0,Total,4,Homens,1150,50 a 54 anos
3,Unidade da Federação,45,Pessoas,43033,53,Distrito Federal,93,População residente,2010,2010,0,Total,4,Homens,1151,55 a 59 anos
3,Unidade da Federação,45,Pessoas,30889,53,Distrito Federal,93,População residente,2010,2010,0,Total,4,Homens,1152,60 a 64 anos
3,Unidade da Federação,45,Pessoas,21160,53,Distrito Federal,93,População residente,2010,2010,0,Total,4,Homens,1153,65 a 69 anos
3,Unidade da Federação,45,Pessoas,15759,53,Distrito Federal,93,População residente,2010,2010,0,Total,4,Homens,1154,70 a 74 anos
3,Unidade da Federação,45,Pessoas,8885,53,Distrito Federal,93,População residente,2010,2010,0,Total,4,Homens,1155,75 a 79 anos
3,Unidade da Federação,45,Pessoas,5074,53,Distrito Federal,93,População residente,2010,2010,0,Total,4,Homens,6802,80 a 84 anos
3,Unidade da Federação,45,Pessoas,2163,53,Distrito Federal,93,População residente,2010,2010,0,Total,4,Homens,6803,85 a 89 anos
3,Unidade da Federação,45,Pessoas,796,53,Distrito Federal,93,População residente,2010,2010,0,Total,4,Homens,92963,90 a 94 anos
3,Unidade da Federação,45,Pessoas,201,53,Distrito Federal,93,População residente,2010,2010,0,Total,4,Homens,92964,95 a 99 anos
3,Unidade da Federação,45,Pessoas,55,53,Distrito Federal,93,População residente,2010,2010,0,Total,4,Homens,92965,100 anos ou mais
3,Unidade da Federação,45,Pessoas,1341280,53,Distrito Federal,93,População residente,2010,2010,0,Total,5,Mulheres,0,Total
3,Unidade da Federação,45,Pessoas,93142,53,Distrito Federal,93,População residente,2010,2010,0,Total,5,Mulheres,1140,0 a 4 anos
3,Unidade da Federação,45,Pessoas,98880,53,Distrito Federal,93,População residente,2010,2010,0,Total,5,Mulheres,1141,5 a 9 anos
3,Unidade da Federação,45,Pessoas,108112,53,Distrito Federal,93,População residente,2010,2010,0,Total,5,Mulheres,1142,10 a 14 anos
3,Unidade da Federação,45,Pessoas,111954,53,Distrito Federal,93,População residente,2010,2010,0,Total,5,Mulheres,1143,15 a 19 anos
3,Unidade da Federação,45,Pessoas,125420,53,Distrito Federal,93,População residente,2010,2010,0,Total,5,Mulheres,1144,20 a 24 anos
3,Unidade da Federação,45,Pessoas,140920,53,Distrito Federal,93,População residente,2010,2010,0,Total,5,Mulheres,1145,25 a 29 anos
3,Unidade da Federação,45,Pessoas,134291,53,Distrito Federal,93,População residente,2010,2010,0,Total,5,Mulheres,1146,30 a 34 anos
3,Unidade da Federação,45,Pessoas,112672,53,Distrito Federal,93,População residente,2010,2010,0,Total,5,Mulheres,1147,35 a 39 anos
3,Unidade da Federação,45,Pessoas,98974,53,Distrito Federal,93,População residente,2010,2010,0,Total,5,Mulheres,1148,40 a 44 anos
3,Unidade da Federação,45,Pessoas,84568,53,Distrito Federal,93,População residente,2010,2010,0,Total,5,Mulheres,1149,45 a 49 anos
3,Unidade da Federação,45,Pessoas,67172,53,Distrito Federal,93,População residente,2010,2010,0,Total,5,Mulheres,1150,50 a 54 anos
3,Unidade da Federação,45,Pessoas,52544,53,Distrito Federal,93,População residente,2010,2010,0,Total,5,Mulheres,1151,55 a 59 anos
3,Unidade da Federação,45,Pessoas,39078,53,Distrito Federal,93,População residente,2010,2010,0,Total,5,Mulheres,1152,60 a 64 anos
3,Unidade da Federação,45,Pessoas,26915,53,Distrito Federal,93,População residente,2010,2010,0,Total,5,Mulheres,1153,65 a 69 anos
3,Unidade da Federação,45,Pessoas,19893,53,Distrito Federal,93,População residente,2010,2010,0,Total,5,Mulheres,1154,70 a 74 anos
3,Unidade da Federação,45,Pessoas,12412,53,Distrito Federal,93,População residente,2010,2010,0,Total,5,Mulheres,1155,75 a 79 anos
3,Unidade da Federação,45,Pessoas,8070,53,Distrito Federal,93,População residente,2010,2010,0,Total,5,Mulheres,6802,80 a 84 anos
3,Unidade da Federação,45,Pessoas,4035,53,Distrito Federal,93,População residente,2010,2010,0,Total,5,Mulheres,6803,85 a 89 anos
3,Unidade da Federação,45,Pessoas,1608,53,Distrito Federal,93,População residente,2010,2010,0,Total,5,Mulheres,92963,90 a 94 anos
3,Unidade da Federação,45,Pessoas,489,53,Distrito Federal,93,População residente,2010,2010,0,Total,5,Mulheres,92964,95 a 99 anos
3,Unidade da Federação,45,Pessoas,131,53,Distrito Federal,93,População residente,2010,2010,0,Total,5,Mulheres,92965,100 anos ou mais
