Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Unidade da Federação (Código),Unidade da Federação,Variável (Código),Variável,Ano (Código),Ano,Sexo (Código),Sexo,Idade (Código),Idade,Forma de declaração da idade (Código),Forma de declaração da idade
3,Unidade da Federação,45,Pessoas,77,53,Distrito Federal,93,População residente,2022,2022,4,Homens,6653,100 anos ou mais,113635,Total
3,Unidade da Federação,45,Pessoas,11090,53,Distrito Federal,93,População residente,2022,2022,4,Homens,49108,80 a 84 anos,113635,Total
3,Unidade da Federação,45,Pessoas,5415,53,Distrito Federal,93,População residente,2022,2022,4,Homens,49109,85 a 89 anos,113635,Total
3,Unidade da Federação,45,Pessoas,1999,53,Distrito Federal,93,População residente,2022,2022,4,Homens,60040,90 a 94 anos,113635,Total
3,Unidade da Federação,45,Pessoas,478,53,Distrito Federal,93,População residente,2022,2022,4,Homens,60041,95 a 99 anos,113635,Total
3,Unidade da Federação,45,Pessoas,84606,53,Distrito Federal,93,População residente,2022,2022,4,Homens,93070,0 a 4 anos,113635,Total
3,Unidade da Federação,45,Pessoas,94159,53,Distrito Federal,93,População residente,2022,2022,4,Homens,93084,5 a 9 anos,113635,Total
3,Unidade da Federação,45,Pessoas,93005,53,Distrito Federal,93,População residente,2022,2022,4,Homens,93085,10 a 14 anos,113635,Total
3,Unidade da Federação,45,Pessoas,105447,53,Distrito Federal,93,População residente,2022,2022,4,Homens,93086,15 a 19 anos,113635,Total
3,Unidade da Federação,45,Pessoas,115443,53,Distrito Federal,93,População residente,2022,2022,4,Homens,93087,20 a 24 anos,113635,Total
3,Unidade da Federação,45,Pessoas,110513,53,Distrito Federal,93,População residente,2022,2022,4,Homens,93088,25 a 29 anos,113635,Total
3,Unidade da Federação,45,Pessoas,107927,53,Distrito Federal,93,População residente,2022,2022,4,Homens,93089,30 a 34 anos,113635,Total
3,Unidade da Federação,45,Pessoas,112084,53,Distrito Federal,93,População residente,2022,2022,4,Homens,93090,35 a 39 anos,113635,Total
3,Unidade da Federação,45,Pessoas,117591,53,Distrito Federal,93,População residente,2022,2022,4,Homens,93091,40 a 44 anos,113635,Total
3,Unidade da Federação,45,Pessoas,97138,53,Distrito Federal,93,População residente,2022,2022,4,Homens,93092,45 a 49 anos,113635,Total
3,Unidade da Federação,45,Pessoas,83450,53,Distrito Federal,93,População residente,2022,2022,4,Homens,93093,50 a 54 anos,113635,Total
3,Unidade da Federação,45,Pessoas,68696,53,Distrito Federal,93,População residente,2022,2022,4,Homens,93094,55 a 59 anos,113635,Total
3,Unidade da Federação,45,Pessoas,50972,53,Distrito Federal,93,População residente,2022,2022,4,Homens,93095,60 a 64 anos,113635,Total
3,Unidade da Federação,45,Pessoas,38223,53,Distrito Federal,93,População residente,2022,2022,4,Homens,93096,65 a 69 anos,113635,Total
3,Unidade da Federação,45,Pessoas,27493,53,Distrito Federal,93,População residente,2022,2022,4,Homens,93097,70 a 74 anos,113635,Total
3,Unidade da Federação,45,Pessoas,16980,53,Distrito Federal,93,População residente,2022,2022,4,Homens,93098,75 a 79 anos,113635,Total
3,Unidade da Federação,45,Pessoas,223,53,Distrito Federal,93,População residente,2022,2022,5,Mulheres,6653,100 anos ou mais,113635,Total
3,Unidade da Federação,45,Pessoas,16411,53,Distrito Federal,93,População residente,2022,2022,5,Mulheres,49108,80 a 84 anos,113635,Total
3,Unidade da Federação,45,Pessoas,8986,53,Distrito Federal,93,População residente,2022,2022,5,Mulheres,49109,85 a 89 anos,113635,Total
3,Unidade da Federação,45,Pessoas,4122,53,Distrito Federal,93,População residente,2022,2022,5,Mulheres,60040,90 a 94 anos,113635,Total
3,Unidade da Federação,45,Pessoas,1242,53,Distrito Federal,93,População residente,2022,2022,5,Mulheres,60041,95 a 99 anos,113635,Total
3,Unidade da Federação,45,Pessoas,82242,53,Distrito Federal,93,População residente,2022,2022,5,Mulheres,93070,0 a 4 anos,113635,Total
3,Unidade da Federação,45,Pessoas,90452,53,Distrito Federal,93,População residente,2022,2022,5,Mulheres,93084,5 a 9 anos,113635,Total
3,Unidade da Federação,45,Pessoas,89769,53,Distrito Federal,93,População residente,2022,2022,5,Mulheres,93085,10 a 14 anos,113635,Total
3,Unidade da Federação,45,Pessoas,103099,53,Distrito Federal,93,População residente,2022,2022,5,Mulheres,93086,15 a 19 anos,113635,Total
3,Unidade da Federação,45,Pessoas,112523,53,Distrito Federal,93,População residente,2022,2022,5,Mulheres,93087,20 a 24 anos,113635,Total
3,Unidade da Federação,45,Pessoas,113649,53,Distrito Federal,93,População residente,2022,2022,5,Mulheres,93088,25 a 29 anos,113635,Total
3,Unidade da Federação,45,Pessoas,115247,53,Distrito Federal,93,População residente,2022,2022,5,Mulheres,93089,30 a 34 anos,113635,Total
3,Unidade da Federação,45,Pessoas,127225,53,Distrito Federal,93,População residente,2022,2022,5,Mulheres,93090,35 a 39 anos,113635,Total
3,Unidade da Federação,45,Pessoas,135768,53,Distrito Federal,93,População residente,2022,2022,5,Mulheres,93091,40 a 44 anos,113635,Total
3,Unidade da Federação,45,Pessoas,112932,53,Distrito Federal,93,População residente,2022,2022,5,Mulheres,93092,45 a 49 anos,113635,Total
3,Unidade da Federação,45,Pessoas,96186,53,Distrito Federal,93,População residente,2022,2022,5,Mulheres,93093,50 a 54 anos,113635,Total
3,Unidade da Federação,45,Pessoas,83140,53,Distrito Federal,93,População residente,2022,2022,5,Mulheres,93094,55 a 59 anos,113635,Total
3,Unidade da Federação,45,Pessoas,65542,53,Distrito Federal,93,População residente,2022,2022,5,Mulheres,93095,60 a 64 anos,113635,Total
3,Unidade da Federação,45,Pessoas,51726,53,Distrito Federal,93,População residente,2022,2022,5,Mulheres,93096,65 a 69 anos,113635,Total
3,Unidade da Federação,45,Pessoas,38695,53,Distrito Federal,93,População residente,2022,2022,5,Mulheres,93097,70 a 74 anos,113635,Total
3,Unidade da Federação,45,Pessoas,25416,53,Distrito Federal,93,População residente,2022,2022,5,Mulheres,93098,75 a 79 anos,113635,Total
