ano,uf,codigo_uf,sexo,idade,grupo_etario,populacao
2022,Distrito Federal,53,Feminino,0,0-4,82242
2022,Distrito Federal,53,Feminino,0,40-44,135768
2022,Distrito Federal,53,Feminino,5,80+,1242
2022,Distrito Federal,53,Feminino,5,5-9,90452
2022,Distrito Federal,53,Feminino,10,10-14,89769
2022,Distrito Federal,53,Feminino,15,15-19,103099
2022,Distrito Federal,53,Feminino,20,20-24,112523
2022,Distrito Federal,53,Feminino,25,25-29,113649
2022,Distrito Federal,53,Feminino,30,30-34,115247
2022,Distrito Federal,53,Feminino,35,35-39,127225
2022,Distrito Federal,53,Feminino,45,45-49,112932
2022,Distrito Federal,53,Feminino,50,50-54,96186
2022,Distrito Federal,53,Feminino,55,55-59,83140
2022,Distrito Federal,53,Feminino,60,60-64,65542
2022,Distrito Federal,53,Feminino,65,65-69,51726
2022,Distrito Federal,53,Feminino,70,70-74,38695
2022,Distrito Federal,53,Feminino,75,75-79,25416
2022,Distrito Federal,53,Feminino,80,80+,223
2022,Distrito Federal,53,Feminino,80,80+,16411
2022,Distrito Federal,53,Feminino,80,80+,8986
2022,Distrito Federal,53,Feminino,80,80+,4122
2022,Distrito Federal,53,Masculino,0,0-4,84606
2022,Distrito Federal,53,Masculino,0,40-44,117591
2022,Distrito Federal,53,Masculino,5,80+,478
2022,Distrito Federal,53,Masculino,5,5-9,94159
2022,Distrito Federal,53,Masculino,10,10-14,93005
2022,Distrito Federal,53,Masculino,15,15-19,105447
2022,Distrito Federal,53,Masculino,20,20-24,115443
2022,Distrito Federal,53,Masculino,25,25-29,110513
2022,Distrito Federal,53,Masculino,30,30-34,107927
2022,Distrito Federal,53,Masculino,35,35-39,112084
2022,Distrito Federal,53,Masculino,45,45-49,97138
2022,Distrito Federal,53,Masculino,50,50-54,83450
2022,Distrito Federal,53,Masculino,55,55-59,68696
2022,Distrito Federal,53,Masculino,60,60-64,50972
2022,Distrito Federal,53,Masculino,65,65-69,38223
2022,Distrito Federal,53,Masculino,70,70-74,27493
2022,Distrito Federal,53,Masculino,75,75-79,16980
2022,Distrito Federal,53,Masculino,80,80+,77
2022,Distrito Federal,53,Masculino,80,80+,11090
2022,Distrito Federal,53,Masculino,80,80+,5415
2022,Distrito Federal,53,Masculino,80,80+,1999
